,Alpha,Delta,Beta,Gamma,Label,channel
293,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
294,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
295,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
296,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
297,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
298,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
299,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
300,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
301,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
302,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
303,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
304,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
305,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
306,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
307,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
308,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
309,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
310,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
311,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
312,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
313,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
314,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
315,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
316,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
317,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
318,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
319,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
320,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
321,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
322,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
323,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
324,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
325,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
326,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
327,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
328,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
329,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
330,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
331,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
332,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
333,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
334,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
335,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
336,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
337,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
338,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
339,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
340,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
341,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
342,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
343,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
344,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
345,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
346,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
347,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
348,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
349,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
350,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
351,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
352,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
353,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
354,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
355,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
356,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
357,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
358,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
359,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
360,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
361,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
362,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
363,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
364,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
365,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
366,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
367,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
368,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
369,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
370,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
371,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
372,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
373,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
374,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
375,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
376,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
377,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
378,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
379,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
380,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
381,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
382,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
383,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
384,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
385,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
386,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
387,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
388,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
389,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
390,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
391,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
392,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
393,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
394,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
395,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
396,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
397,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
398,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
399,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
400,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
401,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
402,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
403,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
404,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
405,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
406,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
407,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
408,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
409,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
410,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
411,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
412,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
413,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
414,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
415,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
416,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
417,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
418,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
419,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
