,Alpha,Delta,Beta,Gamma,Label,channel
203,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
204,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
205,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
206,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
207,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
208,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
209,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
210,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
211,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
212,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
213,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
214,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
215,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
216,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
217,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
218,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
219,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
220,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
221,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
222,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
223,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
224,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
225,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
226,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
227,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
228,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
229,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
230,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
231,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
232,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
233,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
234,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
235,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
236,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
237,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
238,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
239,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
240,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
241,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
242,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
243,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
244,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
245,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
246,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
247,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
248,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
249,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
250,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
251,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
252,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
